City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Ossora,RU,59.2353,163.0719,30.0,65,79,4.97,broken clouds
287,Atlautla,MX,19.0167,-98.7833,64.13,63,92,4.5,light rain
288,Yulara,AU,-25.2406,130.9889,84.04,24,22,8.05,few clouds
289,Savannah Bight,HN,16.45,-85.85,80.98,83,34,22.95,scattered clouds
290,Tupiza,BO,-21.45,-65.7167,56.55,16,0,5.97,clear sky
291,Port-Gentil,GA,-0.7193,8.7815,80.19,82,100,2.3,overcast clouds
292,Lena,ES,43.1,-5.7333,45.34,87,0,3.22,clear sky
293,Aklavik,CA,68.2191,-135.0107,8.31,74,100,5.79,overcast clouds
294,Anadyr,RU,64.75,177.4833,34.3,80,75,22.37,light snow
295,Ornskoldsvik,SE,63.2909,18.7153,25.75,100,75,2.3,broken clouds
296,Pombas,CV,17.1503,-25.0201,67.26,75,55,9.6,broken clouds
297,Abu Dhabi,AE,24.4667,54.3667,81.97,75,0,2.3,clear sky
298,Balgazyn,RU,51.0,95.2,38.95,38,6,2.06,clear sky
299,Jalu,LY,29.0331,21.5482,76.32,14,94,30.31,overcast clouds
300,Nuevo Progreso,MX,23.1667,-97.95,79.54,72,100,1.01,overcast clouds
301,Rzhev,RU,56.2624,34.3282,34.36,92,100,9.95,overcast clouds
302,Allapalli,IN,19.4167,80.0667,84.61,56,98,4.27,overcast clouds
303,Srivardhan,IN,18.0333,73.0167,76.15,83,0,3.83,clear sky
304,Necochea,AR,-38.5473,-58.7368,55.63,67,3,9.42,clear sky
305,Saldus,LV,56.6636,22.4881,31.3,91,13,7.0,few clouds
306,Shache,CN,38.4167,77.2406,62.71,28,0,6.58,clear sky
307,Port Lincoln,AU,-34.7333,135.8667,71.8,63,3,8.77,clear sky
308,Kailua,US,21.4022,-157.7394,82.38,67,97,5.01,overcast clouds
309,Walvis Bay,NA,-22.9575,14.5053,57.09,83,0,6.08,clear sky
310,Esperance,AU,-33.8667,121.9,67.68,65,88,12.53,overcast clouds
311,Poum,NC,-20.2333,164.0167,77.99,71,13,11.52,few clouds
312,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.56,84,98,4.09,overcast clouds
313,Nuuk,GL,64.1835,-51.7216,10.36,72,6,9.91,clear sky
314,Formosa Do Rio Preto,BR,-11.0483,-45.1931,72.39,89,100,3.33,overcast clouds
315,Hirara,JP,24.8,125.2833,71.87,67,100,21.16,overcast clouds
316,Aksu,CN,41.1231,80.2644,56.21,20,71,19.71,broken clouds
317,Byron Bay,AU,-28.65,153.6167,71.71,76,76,9.95,broken clouds
318,San Patricio,US,28.017,-97.5169,79.52,81,20,13.4,few clouds
319,Viedma,AR,-40.8135,-62.9967,64.17,47,0,16.4,clear sky
320,Sesvete,HR,45.8311,16.1164,54.81,80,75,11.5,light rain
321,Nogliki,RU,51.8333,143.1667,33.44,79,100,8.61,overcast clouds
322,Berdigestyakh,RU,62.0989,126.6992,26.67,90,99,6.4,overcast clouds
323,Dakoro,NE,14.5106,6.765,79.75,51,52,11.48,broken clouds
324,Dabhoi,IN,22.1833,73.4333,78.73,78,0,7.47,clear sky
325,Gazojak,TM,41.1875,61.4036,64.09,37,100,25.32,overcast clouds
326,Novobirilyussy,RU,56.9514,90.6661,38.07,92,99,3.51,overcast clouds
327,Enshi,CN,30.3,109.4833,44.69,96,100,2.71,overcast clouds
328,Bogorodskoye,RU,56.55,37.8833,34.54,97,100,11.03,light snow
329,Ancud,CL,-41.8697,-73.8203,54.23,91,28,4.09,scattered clouds
330,Rio Gallegos,AR,-51.6226,-69.2181,47.88,68,15,22.7,few clouds
331,Mwadui,TZ,-3.55,33.6,67.53,68,100,5.61,overcast clouds
332,Te Anau,NZ,-45.4167,167.7167,55.31,51,14,7.67,few clouds
333,Laela,TZ,-8.5667,32.05,59.23,95,98,2.04,overcast clouds
334,Kutum,SD,14.2,24.6667,71.31,10,77,5.61,broken clouds
335,Kirksville,US,40.1948,-92.5833,48.06,46,20,6.91,few clouds
